season,year,rank,name,team,basic_obpr,basic_dbpr,basic_bpr,basic_poss,basic_box_obpr,basic_box_dbpr,basic_box_bpr,basic_adj_team_off_eff,basic_adj_team_def_eff,basic_adj_team_eff_margin,basic_plus_minus,basic_players,basic_color_o,basic_color_d,basic_color_diff,player_name_join,advanced_obpr,advanced_dbpr,advanced_bpr,advanced_poss,advanced_box_obpr,advanced_box_dbpr,advanced_box_bpr,advanced_adj_team_off_eff,advanced_adj_team_def_eff,advanced_adj_team_eff_margin,advanced_plus_minus,advanced_position,advanced_role,advanced_class,advanced_players,advanced_color_o,advanced_color_d,advanced_color_diff
2024-25,2025,783,"Paul McNeil, Jr.",NC State,2.75977,-0.364124,2.395646,350,2.68998987618227,-0.490498593481776,2.19949128270049,117.368100475007,104.915037947888,12.4530625271186,12,2291869,#FFDAAD,#F0F5FA,#FFEDD6,paul mcneil jr,2.75977,-0.364124,2.395646,350,2.68998987618227,-0.490498593481776,2.19949128270049,117.368100475007,104.915037947888,12.4530625271186,12,2.63904899769799,1.18096893856071,,2291869,#FFDAAD,#F0F5FA,#FFEDD6
2024-25,2025,784,Ben VanderWal,Furman,2.48484,-0.090065,2.394775,1250,2.14271707992979,-0.138432350932449,2.00428472899734,116.543052318445,99.9546794091913,16.5883729092538,122,1908364,#FFDEB5,#FBFCFD,#FFEDD6,ben vanderwal,2.48484,-0.090065,2.394775,1250,2.14271707992979,-0.138432350932449,2.00428472899734,116.543052318445,99.9546794091913,16.5883729092538,122,3.85427739331202,3.59929793827739,,1908364,#FFDEB5,#FBFCFD,#FFEDD6
2024-25,2025,785,Jaron Pierre Jr.,Jacksonville State,2.39024,-0.000643814,2.389596186,2075,2.89303343125684,0.291111819706696,3.18414525096354,108.944290741541,102.214670438023,6.72962030351765,25,1606663,#FFDFB8,#FEFEFE,#FFEDD6,jaron pierre jr,2.39024,-0.000643814,2.389596186,2075,2.89303343125684,0.291111819706696,3.18414525096354,108.944290741541,102.214670438023,6.72962030351765,25,2.19944515691936,1.16563724791456,,1606663,#FFDFB8,#FEFEFE,#FFEDD6
2024-25,2025,786,Kendall Blue,St. Thomas (MN),1.96284,0.422389,2.385229,1517,1.45053224794377,0.562958785667011,2.01349103361078,115.044624633169,104.303232543161,10.741392090008,136,1950217,#FFE5C4,#FFF8F0,#FFEDD6,kendall blue,1.96284,0.422389,2.385229,1517,1.45053224794377,0.562958785667011,2.01349103361078,115.044624633169,104.303232543161,10.741392090008,136,3.19540529462217,2.61290476210114,,1950217,#FFE5C4,#FFF8F0,#FFEDD6
2024-25,2025,787,Owen Larson,South Dakota State,1.84502,0.537403,2.382423,1347,1.1272089918571,0.273593110280657,1.40080210213776,115.551727610751,99.9353886075089,15.6163390032418,142,2307458,#FFE6C8,#FFF6EC,#FFEDD6,owen larson,1.84502,0.537403,2.382423,1347,1.1272089918571,0.273593110280657,1.40080210213776,115.551727610751,99.9353886075089,15.6163390032418,142,2.35673563601097,2.97157950309599,,2307458,#FFE6C8,#FFF6EC,#FFEDD6
2024-25,2025,788,Damari Monsanto,UTSA,1.85491,0.525879,2.380789,1341,2.05748608991045,0.866631120347016,2.92411721025747,108.326879471644,104.436686846547,3.89019262509696,-21,1356287,#FFE6C8,#FFF6EC,#FFEDD7,damari monsanto,1.85491,0.525879,2.380789,1341,2.05748608991045,0.866631120347016,2.92411721025747,108.326879471644,104.436686846547,3.89019262509696,-21,3.26921758504416,2.761152104843,,1356287,#FFE6C8,#FFF6EC,#FFEDD7
2024-25,2025,789,Conor Enright,DePaul,1.8716,0.503073,2.374673,1168,1.63132809730197,0.0821170480058166,1.71344514530779,110.226992847164,99.3636775455375,10.8633153016268,41,1687955,#FFE6C7,#FFF7ED,#FFEDD7,conor enright,1.8716,0.503073,2.374673,1168,1.63132809730197,0.0821170480058166,1.71344514530779,110.226992847164,99.3636775455375,10.8633153016268,41,1.15782501335093,1.43099870162915,,1687955,#FFE6C7,#FFF7ED,#FFEDD7
2024-25,2025,790,D'Marco Dunn,Penn State,1.57393,0.799944,2.373874,1171,0.914400076712258,0.343328615973598,1.25772869268586,116.803896981117,93.8582602484164,22.9456367327005,108,1690559,#FFEAD0,#FFF2E3,#FFEDD7,dmarco dunn,1.57393,0.799944,2.373874,1171,0.914400076712258,0.343328615973598,1.25772869268586,116.803896981117,93.8582602484164,22.9456367327005,108,2.75483299139869,3.43089065878414,,1690559,#FFEAD0,#FFF2E3,#FFEDD7
2024-25,2025,791,Mikeal Brown-Jones,Ole Miss,1.24229,1.12943,2.37172,487,-0.00188615775554721,0.668747253636315,0.666861095880768,114.739173188597,93.829434356967,20.9097388316303,32,1611519,#FFEEDA,#FFEDD7,#FFEDD7,mikeal brownjones,1.24229,1.12943,2.37172,487,-0.00188615775554721,0.668747253636315,0.666861095880768,114.739173188597,93.829434356967,20.9097388316303,32,4.53237814158257,3.26745187905943,,1611519,#FFEEDA,#FFEDD7,#FFEDD7
2024-25,2025,792,Bryce Thompson,Oklahoma State,1.28748,1.08102,2.3685,1712,1.13483573942395,0.878248058249871,2.01308379767382,106.685091015824,96.2329916255969,10.4520993902268,-48,1611536,#FFEED8,#FFEED9,#FFEDD7,bryce thompson,1.28748,1.08102,2.3685,1712,1.13483573942395,0.878248058249871,2.01308379767382,106.685091015824,96.2329916255969,10.4520993902268,-48,2.21154152809062,2.42407683996293,,1611536,#FFEED8,#FFEED9,#FFEDD7
