season,year,rank,name,team,basic_obpr,basic_dbpr,basic_bpr,basic_poss,basic_box_obpr,basic_box_dbpr,basic_box_bpr,basic_adj_team_off_eff,basic_adj_team_def_eff,basic_adj_team_eff_margin,basic_plus_minus,basic_players,basic_color_o,basic_color_d,basic_color_diff,player_name_join,advanced_obpr,advanced_dbpr,advanced_bpr,advanced_poss,advanced_box_obpr,advanced_box_dbpr,advanced_box_bpr,advanced_adj_team_off_eff,advanced_adj_team_def_eff,advanced_adj_team_eff_margin,advanced_plus_minus,advanced_position,advanced_role,advanced_class,advanced_players,advanced_color_o,advanced_color_d,advanced_color_diff
2015-16,2016,1,Denzel Valentine,Michigan State,9.05575,3.40362,12.45937,1704,10.3285496989166,2.07063746064927,12.3991871595659,124.827629047221,86.9084754846078,37.919153562613,464,1233855,#FF9D23,#FFC479,#FF9D23,denzel valentine,9.05575,3.40362,12.45937,1704,10.3285496989166,2.07063746064927,12.3991871595659,124.827629047221,86.9084754846078,37.919153562613,464,1.91130060076698,1.0,,1233855,#FF9D23,#FFC479,#FF9D23
2015-16,2016,2,Thomas Walkup,Stephen F. Austin,7.82569,2.90187,10.72756,1516,8.51644659069882,1.96946552269558,10.4859121133944,116.185379922478,87.5463245213611,28.6390554011166,411,1231218,#FFAB41,#FFCC8D,#FFAB41,thomas walkup,7.82569,2.90187,10.72756,1516,8.51644659069882,1.96946552269558,10.4859121133944,116.185379922478,87.5463245213611,28.6390554011166,411,3.03535401878074,1.0,,1231218,#FFAB41,#FFCC8D,#FFAB41
2015-16,2016,3,Tyler Ulis,Kentucky,7.6368,1.96931,9.60611,2196,7.1320644516619,1.02201066720235,8.15407511886425,120.372364451533,88.6677344852103,31.7046299663222,408,1234069,#FFAD45,#FFDCB1,#FFB455,tyler ulis,7.6368,1.96931,9.60611,2196,7.1320644516619,1.02201066720235,8.15407511886425,120.372364451533,88.6677344852103,31.7046299663222,408,1.0,1.0,,1234069,#FFAD45,#FFDCB1,#FFB455
2015-16,2016,4,Brice Johnson,North Carolina,5.69255,3.87189,9.56444,1948,6.51796548570825,3.95637485313774,10.474340338846,125.216878318616,89.1955785172365,36.0212998013792,410,1233654,#FFC174,#FFBB67,#FFB456,brice johnson,5.69255,3.87189,9.56444,1948,6.51796548570825,3.95637485313774,10.474340338846,125.216878318616,89.1955785172365,36.0212998013792,410,5.0,1.98242823586507,,1233654,#FFC174,#FFBB67,#FFB456
2015-16,2016,5,Malcolm Brogdon,Virginia,6.51771,2.84333,9.36104,1944,6.28240558847531,1.73401517846313,8.01642076693844,123.046227764751,85.8999878041785,37.1462399605725,405,1230801,#FFB960,#FFCD8F,#FFB65A,malcolm brogdon,6.51771,2.84333,9.36104,1944,6.28240558847531,1.73401517846313,8.01642076693844,123.046227764751,85.8999878041785,37.1462399605725,405,2.3301458580179,1.78677993924811,,1230801,#FFB960,#FFCD8F,#FFB65A
2015-16,2016,6,Fred VanVleet,Wichita State,6.20628,3.10476,9.31104,1485,5.29701817756594,1.14553159992422,6.44254977749016,114.772522079404,82.960835875439,31.8116862039654,382,1235774,#FFBC68,#FFC985,#FFB65A,fred vanvleet,6.20628,3.10476,9.31104,1485,5.29701817756594,1.14553159992422,6.44254977749016,114.772522079404,82.960835875439,31.8116862039654,382,1.0,1.0,,1235774,#FFBC68,#FFC985,#FFB65A
2015-16,2016,7,Buddy Hield,Oklahoma,6.93511,2.06639,9.0015,2270,7.16490595071762,1.7522452322808,8.91715118299842,119.900664351483,89.4165473670564,30.4841169844264,323,1237124,#FFB456,#FFDBAE,#FFB860,buddy hield,6.93511,2.06639,9.0015,2270,7.16490595071762,1.7522452322808,8.91715118299842,119.900664351483,89.4165473670564,30.4841169844264,323,2.87103155064288,1.01013459882226,,1237124,#FFB456,#FFDBAE,#FFB860
2015-16,2016,8,Alex Caruso,Texas A&M,4.86477,4.01804,8.88281,1889,5.11511913206472,3.03672067087109,8.15183980293582,115.082711643899,87.3296062851095,27.753105358789,266,1234195,#FFCA89,#FFB961,#FFB962,alex caruso,4.86477,4.01804,8.88281,1889,5.11511913206472,3.03672067087109,8.15183980293582,115.082711643899,87.3296062851095,27.753105358789,266,1.08049665407056,1.49919978036091,,1234195,#FFCA89,#FFB961,#FFB962
2015-16,2016,9,Kris Dunn,Providence,4.68036,4.16211,8.84247,1912,4.43194731446648,3.75169778974182,8.1836451042083,111.560106367707,89.7217876058438,21.8383187618629,188,1234989,#FFCC8D,#FFB65B,#FFBA63,kris dunn,4.68036,4.16211,8.84247,1912,4.43194731446648,3.75169778974182,8.1836451042083,111.560106367707,89.7217876058438,21.8383187618629,188,1.34685222844335,1.0,,1234989,#FFCC8D,#FFB65B,#FFBA63
2015-16,2016,10,Jaysean Paige,West Virginia,5.34378,3.39654,8.74032,1458,5.14121969234928,1.91518822848718,7.05640792083646,118.978109044757,82.5012000122805,36.4769090324762,319,1231092,#FFC57D,#FFC479,#FFBA64,jaysean paige,5.34378,3.39654,8.74032,1458,5.14121969234928,1.91518822848718,7.05640792083646,118.978109044757,82.5012000122805,36.4769090324762,319,2.6423523852848,1.93191445899497,,1231092,#FFC57D,#FFC479,#FFBA64
2015-16,2016,11,Grayson Allen,Duke,7.10366,1.59059,8.69425,2299,6.76756411446783,1.89829333037272,8.66585744484055,123.706157807657,94.5664014277722,29.1397563798853,322,1140038,#FFB252,#FFE3C0,#FFBB65,grayson allen,7.10366,1.59059,8.69425,2299,6.76756411446783,1.89829333037272,8.66585744484055,123.706157807657,94.5664014277722,29.1397563798853,322,2.02271459460882,1.12956407753598,,1140038,#FFB252,#FFE3C0,#FFBB65
2015-16,2016,12,Gary Payton II,Oregon State,5.10432,3.58399,8.68831,1850,5.26895400038176,3.49339127421165,8.76234527459341,110.094823522253,94.6063845853199,15.4884389369331,40,1234221,#FFC883,#FFC072,#FFBB65,gary payton ii,5.10432,3.58399,8.68831,1850,5.26895400038176,3.49339127421165,8.76234527459341,110.094823522253,94.6063845853199,15.4884389369331,40,2.44498846276808,1.0,,1234221,#FFC883,#FFC072,#FFBB65
2015-16,2016,13,Daniel Ochefu,Villanova,4.03684,4.63109,8.66793,1450,3.35012728906058,3.35593890066987,6.70606618973045,125.923459208456,82.8521724276735,43.0712867807824,417,1235103,#FFD39D,#FFAE49,#FFBB66,daniel ochefu,4.03684,4.63109,8.66793,1450,3.35012728906058,3.35593890066987,6.70606618973045,125.923459208456,82.8521724276735,43.0712867807824,417,5.0,2.66920013018522,,1235103,#FFD39D,#FFAE49,#FFBB66
2015-16,2016,14,Ben Simmons,LSU,5.34132,3.31931,8.66063,2223,5.20942845403456,3.37025055708935,8.57967901112391,114.651831188864,97.642409675758,17.0094215131062,153,1235489,#FFC57D,#FFC57C,#FFBB66,ben simmons,5.34132,3.31931,8.66063,2223,5.20942845403456,3.37025055708935,8.57967901112391,114.651831188864,97.642409675758,17.0094215131062,153,4.07946922366533,1.0,,1235489,#FFC57D,#FFC57C,#FFBB66
2015-16,2016,15,Kyle Collinsworth,BYU,5.63976,2.98216,8.62192,2255,4.61509765678383,2.56453538514537,7.1796330419292,116.094157841123,93.0441219713673,23.0500358697558,383,1232966,#FFC276,#FFCB8A,#FFBB67,kyle collinsworth,5.63976,2.98216,8.62192,2255,4.61509765678383,2.56453538514537,7.1796330419292,116.094157841123,93.0441219713673,23.0500358697558,383,1.82187117534528,1.0,,1232966,#FFC276,#FFCB8A,#FFBB67
