split,rows,year_min,year_max,target_mean,target_std,pred_mean,pred_std,mae,rmse,weighted_rmse_diagnostic_only,r2,corr,spearman_corr,diagnostic_weight_mean,diagnostic_weight_min,diagnostic_weight_max,poss_mean,poss_min,poss_max
train,2335,2018.0,2023.0,1.0626177311922913,2.354150348112038,1.051272253621773,1.805915554329322,1.1037411460325006,1.3822763379678995,1.377680461406034,0.6550887266804318,0.8105451706788863,0.7955351910835352,0.7310553698975685,0.4,0.879951980792317,1009.8552462526767,200.0,2199.0
valid,871,2024.0,2024.0,1.34680105163031,2.4728779691997427,1.3109644972616903,1.993082341256067,1.1921851750795072,1.4947605915251756,1.4946579111373646,0.6342058040202008,0.7965636194220043,0.7907027597756963,0.7509932166867871,0.4,0.8859315589353612,1127.7370838117106,200.0,2330.0
test,915,2025.0,2025.0,1.4340425957614973,2.7352975395847112,1.2434707981049367,1.950352572833227,1.340455632240498,1.6881154587384868,1.6883240120570546,0.6186971578067251,0.7937291271732448,0.7888174862970255,0.7546866448776665,0.40476190476190477,0.8849252013808976,1121.3792349726775,204.0,2307.0
