number,value,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_wait,params_random_strength,user_attrs_best_iteration,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse_diagnostic_only,state
0,1.5234360775943736,1.5599452033620265,64,7,1311,10.401663679887308,0.10260217747726169,1,244,1.5601864044243652,114,0.7876286384672264,1.2123712669597968,0.6200363911447481,1.5234360775943736,0.7813776068916847,1.5233672829185605,COMPLETE
1,1.5050100171238991,5.247564316322379,128,4,2548,2.0492680115417348,0.009818447719078614,12,123,3.0424224295953772,1233,0.7934475011715134,1.1970655287728074,0.6291721761641698,1.5050100171238991,0.7896851916893278,1.5057155914765983,COMPLETE
2,1.5053400084288504,0.46450412719997725,254,4,1531,7.475992999956503,0.060628760975110135,39,212,5.924145688620425,264,0.7932376985988614,1.1989192983996386,0.6290095415349779,1.5053400084288504,0.7883221386073307,1.5082310662853091,COMPLETE
3,1.5122079697023767,4.951769101112702,64,7,1122,5.595074635794794,0.006819902315213207,13,154,1.2203823484477883,1119,0.7913863669494343,1.2059055326504182,0.6256166064308564,1.5122079697023767,0.7861841959501399,1.5119666085552057,COMPLETE
4,1.5069442769176093,8.948273504276488,64,8,1776,20.74566765675251,0.008997217140167088,2,115,9.394989415641891,1775,0.793206569532981,1.1972459263639474,0.6282183774926944,1.5069442769176093,0.7874703757149326,1.5075299306173862,COMPLETE
5,1.5063147273226998,5.426960831582485,254,7,1349,4.037506188440754,0.011843743366810626,31,89,2.8093450968738076,1126,0.7930664035116971,1.1971591511959059,0.6285289478082159,1.5063147273226998,0.787597117713697,1.5072579989599297,COMPLETE
6,1.5188456560453838,0.7404465173409036,128,7,314,17.320535358459537,0.06675426755440242,14,62,7.712703466859457,313,0.7890931309838146,1.204776002764629,0.6223227559747351,1.5188456560453838,0.7840862971541436,1.5213705919154008,COMPLETE
7,1.5082264131734235,4.722149251619493,128,7,1139,12.111307195599325,0.0140537324396345,31,149,8.872127425763265,1137,0.7925690800442978,1.197377313390976,0.6275854709060056,1.5082264131734235,0.7865756996053,1.508702717107256,COMPLETE
8,1.50724149698041,6.364104112637804,128,3,1711,1.5251209898002924,0.01945659881967145,17,201,0.3142918568673425,600,0.7928240591697012,1.1963721649943482,0.6280717073654256,1.50724149698041,0.7882248165882193,1.506055248334535,COMPLETE
9,1.545294518392473,8.08120379564417,64,4,917,1.8789279685460507,0.006385847474975015,36,158,9.29697652342573,916,0.7836767708601395,1.2423064172246348,0.6090546431223587,1.545294518392473,0.7780062043468201,1.5453598663544568,COMPLETE
