allyears_year,row_count,cum_rows,cum_pct
2018,98,98,0.02378063576801747
2019,154,252,0.061150206260616354
2020,274,526,0.12763892259160398
2021,555,1081,0.2623149720941519
2022,603,1684,0.4086386799320553
2023,651,2335,0.5666100461053143
2024,871,3206,0.7779665129822858
2025,915,4121,1.0
