split,rows,target_mean,target_std,pred_mean,pred_std,mae,rmse,weighted_rmse,r2,corr,sample_weight_mean,sample_weight_min,sample_weight_max,poss_mean,poss_min,poss_max
train,5537,0.004633921213653592,2.4715311698956253,0.14756049524955547,1.5407557793749134,1.496691156572978,1.897225222301292,1.9132793646720954,0.4106354123221164,0.6437323136519362,0.702493234103245,0.4,0.8920086393088553,887.7572692793932,200.0,2478.0
valid,855,-0.23741241489707607,2.3591496139762733,0.2460069558561963,1.348415386317005,1.577804567980769,1.9809731747454722,1.9976194575354582,0.29408166022733817,0.5798125071002694,0.690141532806865,0.4,0.8810467882632831,835.540350877193,200.0,2222.0
test,797,0.48923508374834385,2.720638212047572,0.2557776413125078,1.3370368004261766,1.6986886349740944,2.1868614774254658,2.266070737260429,0.3530864984383958,0.6123811987272707,0.6998091328355129,0.40239043824701193,0.8851014936805821,888.6762860727729,202.0,2311.0
