split,rows,target_mean,target_std,pred_mean,pred_std,mae,rmse,weighted_rmse,r2,corr,spearman_corr,sample_weight_mean,sample_weight_min,sample_weight_max,poss_mean,poss_min,poss_max
train,5537,0.004633921213653592,2.4715311698956253,0.2003039573201553,1.5806360796346568,1.4236673584062058,1.8080300371645597,1.8225433056353946,0.464748934413054,0.6880132393339229,-0.010514195228315147,0.702493234103245,0.4,0.8920086393088553,887.7572692793932,200.0,2478.0
valid,855,-0.23741241489707607,2.3591496139762733,0.1430357088224198,1.4341389078150142,1.4931489769585666,1.8956733187275445,1.9145886379004529,0.3535658806093167,0.6161698357914288,-0.04533691768244925,0.690141532806865,0.4,0.8810467882632831,835.540350877193,200.0,2222.0
test,797,0.48923508374834385,2.720638212047572,0.19069769836193917,1.4874215655617549,1.564006583647777,2.0310907083810137,2.100689224474267,0.44196388648020923,0.6884931580375044,0.1306872655453126,0.6998091328355129,0.40239043824701193,0.8851014936805821,888.6762860727729,202.0,2311.0
