split,rows,target_mean,target_std,pred_mean,pred_std,mae,rmse,weighted_rmse_diagnostic_only,r2,corr,spearman_corr,diagnostic_weight_mean,diagnostic_weight_min,diagnostic_weight_max,poss_mean,poss_min,poss_max
train,5537,0.004633921213653592,2.4715311698956253,0.04229587056659131,1.534977183597076,1.4607812182883584,1.859389590937607,1.8890340374590109,0.43390795901209556,0.6600417894960167,0.6232924701568396,0.702493234103245,0.4,0.8920086393088553,887.7572692793932,200.0,2478.0
valid,855,-0.23741241489707607,2.3591496139762733,0.012561554670661315,1.3601924169596435,1.465399806798821,1.8737933368978041,1.9042315578903732,0.36840213046949843,0.6174869469195237,0.5628768290205527,0.690141532806865,0.4,0.8810467882632831,835.540350877193,200.0,2222.0
test,797,0.48923508374834385,2.720638212047572,0.08314775359614184,1.4210989185366654,1.578598902592673,2.0573495536025908,2.1393012516738614,0.4274415349094143,0.691577014624362,0.5864106999275015,0.6998091328355129,0.40239043824701193,0.8851014936805821,888.6762860727729,202.0,2311.0
