player.key,player.firstName,player.lastName,player.avatar,player.transferDate,player.transferRating,player.highSchoolRating,player.rating,player.starRating,player.transferRank,player.highSchoolRank,player.rank,player.rankTrend,player.institutionStatus,player.position,player.positionKey,player.eligibility.type,player.eligibility.years,player.stateRank,player.status,player.statusDate,player.transfer.source.institution,player.transfer.source.institutionKey,player.transfer.source.logo,player.transfer.source.defaultAsset,player.transfer.source.alternateAsset,player.transfer.source.lightAsset,player.transfer.source.institutionRootPath,player.transfer.destination,player.positionGroupKey,player.positionGroupName,player.positionRank,player.lastUpdateDate,player.transferCommitDateTime,player.weight,player.height,player.playerProfileUrl,player.startDate,player.endDate,year
46036187,Hunter,Dickinson,https://s3media.247sports.com/Uploads/Assets/805/706/11706805.jpeg,2023-03-31T20:01:00Z,0.98,0.96,0.98,5.0,1.0,53.0,1.0,1.0,T,C,35,Immediate,,1.0,Enrolled,,Michigan,24042,,https://s3media.247sports.com/Uploads/Assets/794/510/10510794.png,,https://s3media.247sports.com/Uploads/Assets/794/510/10510794.png,/college/michigan,"[{'percentage': None, 'transferred': True, 'institution': 'Kansas', 'institutionKey': 24022, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/993/542/12542993.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/993/542/12542993.png', 'institutionRootPath': '/college/kansas'}]",11,Center,1.0,2023-05-04T14:22:19Z,2023-05-04T14:22:00Z,260,7-1,https://247sports.com/player/hunter-dickinson-46036187/college-259166,,,2023
46100150,Kel'el,Ware,https://s3media.247sports.com/Uploads/Assets/162/695/11695162.jpeg,2023-03-27T17:20:00Z,0.98,0.99,0.98,5.0,2.0,7.0,2.0,,T,C,35,Immediate,4.0,1.0,Enrolled,,Oregon,24090,,https://s3media.247sports.com/Uploads/Assets/56/543/12543056.png,,https://s3media.247sports.com/Uploads/Assets/1/553/12553001.png,/college/oregon,"[{'percentage': 100, 'transferred': True, 'institution': 'Indiana', 'institutionKey': 24040, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/345/617/12617345.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/345/617/12617345.png', 'institutionRootPath': '/college/indiana'}]",11,Center,2.0,2023-04-10T22:28:07Z,2023-04-10T22:15:00Z,210,7-0,https://247sports.com/player/kelel-ware-46100150/college-288541,,,2023
46086775,Grant,Nelson,https://s3media.247sports.com/Uploads/Assets/23/753/11753023.jpeg,2023-05-02T16:00:00Z,0.97,,0.97,4.0,3.0,,3.0,,T,PF,34,Immediate,,1.0,Enrolled,,North Dakota State,24183,,https://s3media.247sports.com/Uploads/Assets/227/550/12550227.png,,https://s3media.247sports.com/Uploads/Assets/227/550/12550227.png,/college/north-dakota-state,"[{'percentage': None, 'transferred': True, 'institution': 'Alabama', 'institutionKey': 24096, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/88/543/12543088.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/279/553/12553279.png', 'institutionRootPath': '/college/alabama'}]",10,Forward,1.0,2023-06-28T17:06:35Z,,235,6-11,https://247sports.com/player/grant-nelson-46086775/college-295840,,,2023
46082370,Jesse,Edwards,https://s3media.247sports.com/Uploads/Assets/202/719/11719202.png,2023-04-11T13:19:00Z,0.97,0.9,0.97,4.0,4.0,134.0,4.0,,T,C,35,Immediate,,1.0,Enrolled,,Syracuse,24037,,https://s3media.247sports.com/Uploads/Assets/517/617/12617517.png,,https://s3media.247sports.com/Uploads/Assets/517/617/12617517.png,/college/syracuse,"[{'percentage': None, 'transferred': True, 'institution': 'West Virginia', 'institutionKey': 24038, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/39/543/12543039.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/41/543/12543041.png', 'institutionRootPath': '/college/west-virginia'}]",11,Center,3.0,2023-04-16T18:10:02Z,2023-04-16T18:10:00Z,205,6-11,https://247sports.com/player/jesse-edwards-46082370/college-242938,,,2023
46086230,JJ,Starling,https://s3media.247sports.com/Uploads/Assets/562/722/10722562.jpg,2023-03-13T14:16:00Z,0.97,0.98,0.97,4.0,5.0,22.0,5.0,-1.0,T,CG,36,Immediate,,1.0,Enrolled,,Notre Dame,24064,,https://s3media.247sports.com/Uploads/Assets/881/542/12542881.png,,https://s3media.247sports.com/Uploads/Assets/882/542/12542882.png,/college/notre-dame,"[{'percentage': 100, 'transferred': True, 'institution': 'Syracuse', 'institutionKey': 24037, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/517/617/12617517.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/517/617/12617517.png', 'institutionRootPath': '/college/syracuse'}]",9,Guard,1.0,2023-03-14T14:29:36Z,2023-03-14T14:29:00Z,180,6-4,https://247sports.com/player/jj-starling-46086230/college-288198,,,2023
46043235,LJ,Cryer,https://s3media.247sports.com/Uploads/Assets/632/708/11708632.jpeg,2023-04-03T17:06:00Z,0.96,0.91,0.96,4.0,6.0,125.0,6.0,,T,PG,31,Immediate,,1.0,Enrolled,,Baylor,24019,,https://s3media.247sports.com/Uploads/Assets/935/542/12542935.png,,https://s3media.247sports.com/Uploads/Assets/199/617/12617199.png,/college/baylor,"[{'percentage': None, 'transferred': True, 'institution': 'Houston', 'institutionKey': 24051, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/983/542/12542983.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/983/542/12542983.png', 'institutionRootPath': '/college/houston'}]",9,Guard,1.0,2023-04-09T23:19:41Z,,180,6-1,https://247sports.com/player/lj-cryer-46043235/college-258668,,,2023
46140292,Jameer,Nelson Jr.,https://s3media.247sports.com/Uploads/Assets/154/671/11671154.png,2023-03-14T14:23:00Z,0.96,,0.96,4.0,7.0,,7.0,,T,CG,36,Immediate,,1.0,Enrolled,,Delaware,24142,,https://s3media.247sports.com/Uploads/Assets/537/486/8486537.png,,https://s3media.247sports.com/Uploads/Assets/537/486/8486537.png,/college/delaware,"[{'percentage': None, 'transferred': True, 'institution': 'TCU', 'institutionKey': 24083, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/29/543/12543029.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/175/617/12617175.png', 'institutionRootPath': '/college/tcu'}]",9,Guard,2.0,2023-04-03T01:09:03Z,,200,6-1,https://247sports.com/player/jameer-nelson-jr-46140292/college-293877,,,2023
46115501,Max,Abmas,https://s3media.247sports.com/Uploads/Assets/701/707/11707701.jpeg,2023-04-04T00:15:00Z,0.95,,0.95,4.0,8.0,,8.0,,T,CG,36,Immediate,,1.0,Enrolled,,Oral Roberts,24396,,https://s3media.247sports.com/Uploads/Assets/51/633/12633051.png,,https://s3media.247sports.com/Uploads/Assets/51/633/12633051.png,/college/oral-roberts,"[{'percentage': 100, 'transferred': True, 'institution': 'Texas', 'institutionKey': 24028, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/487/456/8456487.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/776/616/12616776.png', 'institutionRootPath': '/college/texas'}]",9,Guard,3.0,2023-04-28T17:15:26Z,2023-04-27T22:15:00Z,175,6-0,https://247sports.com/player/max-abmas-46115501/college-293796,,,2023
46059386,Ryan,Nembhard,https://s3media.247sports.com/Uploads/Assets/446/712/11712446.jpeg,2023-04-06T19:53:00Z,0.95,0.94,0.95,4.0,9.0,69.0,9.0,,T,PG,31,Immediate,,1.0,Enrolled,,Creighton,24343,,https://s3media.247sports.com/Uploads/Assets/30/284/10284030.png,,https://s3media.247sports.com/Uploads/Assets/34/284/10284034.png,/college/creighton,"[{'percentage': 100, 'transferred': False, 'institution': 'Arizona', 'institutionKey': 24087, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/925/542/12542925.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/925/542/12542925.png', 'institutionRootPath': '/college/arizona'}, {'percentage': None, 'transferred': True, 'institution': 'Gonzaga', 'institutionKey': 24317, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/850/825/7825850.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/850/825/7825850.png', 'institutionRootPath': '/college/gonzaga'}]",9,Guard,2.0,2023-04-22T14:47:13Z,,165,6-1,https://247sports.com/player/ryan-nembhard-46059386/college-273227,,,2023
46054930,Tyler,Burton,https://s3media.247sports.com/Uploads/Assets/999/783/11783999.jpeg,2023-05-25T19:10:00Z,0.95,,0.95,4.0,10.0,,10.0,,T,SF,33,Immediate,,1.0,Enrolled,,Richmond,24150,,https://s3media.247sports.com/Uploads/Assets/843/268/9268843.png,,https://s3media.247sports.com/Uploads/Assets/845/268/9268845.png,/college/richmond,"[{'percentage': 100, 'transferred': True, 'institution': 'Villanova', 'institutionKey': 24152, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/984/546/12546984.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/984/546/12546984.png', 'institutionRootPath': '/college/villanova'}]",10,Forward,1.0,2023-05-31T16:00:33Z,2023-05-31T15:00:00Z,215,6-7,https://247sports.com/player/tyler-burton-46054930/college-278965,,,2023
