year,player_key,first_name,last_name,full_name,position,position_group,height,weight,stars,rating,transfer_rating,high_school_rating,transfer_rank,high_school_rank,position_rank,state_rank,eligibility_type,eligibility_years,status,institution_status,transfer_date,transfer_commit_date,source_school,source_institution_key,source_school_root_path,destination_school,destination_institution_key,destination_school_root_path,destination_transferred,destination_options_count,player_profile_url,avatar_url,last_update_date,source
2023,46036187,Hunter,Dickinson,Hunter Dickinson,C,Center,7-1,260,5.0,0.98,0.98,0.96,1.0,53.0,1.0,1.0,Immediate,,Enrolled,T,2023-03-31T20:01:00Z,2023-05-04T14:22:00Z,Michigan,24042,/college/michigan,Kansas,24022.0,/college/kansas,True,1.0,https://247sports.com/player/hunter-dickinson-46036187/college-259166,https://s3media.247sports.com/Uploads/Assets/805/706/11706805.jpeg,2023-05-04T14:22:19Z,247sports_api_transfers
2023,46100150,Kel'el,Ware,Kel'el Ware,C,Center,7-0,210,5.0,0.98,0.98,0.99,2.0,7.0,2.0,1.0,Immediate,4.0,Enrolled,T,2023-03-27T17:20:00Z,2023-04-10T22:15:00Z,Oregon,24090,/college/oregon,Indiana,24040.0,/college/indiana,True,1.0,https://247sports.com/player/kelel-ware-46100150/college-288541,https://s3media.247sports.com/Uploads/Assets/162/695/11695162.jpeg,2023-04-10T22:28:07Z,247sports_api_transfers
2023,46086775,Grant,Nelson,Grant Nelson,PF,Forward,6-11,235,4.0,0.97,0.97,,3.0,,1.0,1.0,Immediate,,Enrolled,T,2023-05-02T16:00:00Z,,North Dakota State,24183,/college/north-dakota-state,Alabama,24096.0,/college/alabama,True,1.0,https://247sports.com/player/grant-nelson-46086775/college-295840,https://s3media.247sports.com/Uploads/Assets/23/753/11753023.jpeg,2023-06-28T17:06:35Z,247sports_api_transfers
2023,46082370,Jesse,Edwards,Jesse Edwards,C,Center,6-11,205,4.0,0.97,0.97,0.9,4.0,134.0,3.0,1.0,Immediate,,Enrolled,T,2023-04-11T13:19:00Z,2023-04-16T18:10:00Z,Syracuse,24037,/college/syracuse,West Virginia,24038.0,/college/west-virginia,True,1.0,https://247sports.com/player/jesse-edwards-46082370/college-242938,https://s3media.247sports.com/Uploads/Assets/202/719/11719202.png,2023-04-16T18:10:02Z,247sports_api_transfers
2023,46086230,JJ,Starling,JJ Starling,CG,Guard,6-4,180,4.0,0.97,0.97,0.98,5.0,22.0,1.0,1.0,Immediate,,Enrolled,T,2023-03-13T14:16:00Z,2023-03-14T14:29:00Z,Notre Dame,24064,/college/notre-dame,Syracuse,24037.0,/college/syracuse,True,1.0,https://247sports.com/player/jj-starling-46086230/college-288198,https://s3media.247sports.com/Uploads/Assets/562/722/10722562.jpg,2023-03-14T14:29:36Z,247sports_api_transfers
2023,46043235,LJ,Cryer,LJ Cryer,PG,Guard,6-1,180,4.0,0.96,0.96,0.91,6.0,125.0,1.0,1.0,Immediate,,Enrolled,T,2023-04-03T17:06:00Z,,Baylor,24019,/college/baylor,Houston,24051.0,/college/houston,True,1.0,https://247sports.com/player/lj-cryer-46043235/college-258668,https://s3media.247sports.com/Uploads/Assets/632/708/11708632.jpeg,2023-04-09T23:19:41Z,247sports_api_transfers
2023,46140292,Jameer,Nelson Jr.,Jameer Nelson Jr.,CG,Guard,6-1,200,4.0,0.96,0.96,,7.0,,2.0,1.0,Immediate,,Enrolled,T,2023-03-14T14:23:00Z,,Delaware,24142,/college/delaware,TCU,24083.0,/college/tcu,True,1.0,https://247sports.com/player/jameer-nelson-jr-46140292/college-293877,https://s3media.247sports.com/Uploads/Assets/154/671/11671154.png,2023-04-03T01:09:03Z,247sports_api_transfers
2023,46115501,Max,Abmas,Max Abmas,CG,Guard,6-0,175,4.0,0.95,0.95,,8.0,,3.0,1.0,Immediate,,Enrolled,T,2023-04-04T00:15:00Z,2023-04-27T22:15:00Z,Oral Roberts,24396,/college/oral-roberts,Texas,24028.0,/college/texas,True,1.0,https://247sports.com/player/max-abmas-46115501/college-293796,https://s3media.247sports.com/Uploads/Assets/701/707/11707701.jpeg,2023-04-28T17:15:26Z,247sports_api_transfers
2023,46059386,Ryan,Nembhard,Ryan Nembhard,PG,Guard,6-1,165,4.0,0.95,0.95,0.94,9.0,69.0,2.0,1.0,Immediate,,Enrolled,T,2023-04-06T19:53:00Z,,Creighton,24343,/college/creighton,Gonzaga,24317.0,/college/gonzaga,True,2.0,https://247sports.com/player/ryan-nembhard-46059386/college-273227,https://s3media.247sports.com/Uploads/Assets/446/712/11712446.jpeg,2023-04-22T14:47:13Z,247sports_api_transfers
2023,46054930,Tyler,Burton,Tyler Burton,SF,Forward,6-7,215,4.0,0.95,0.95,,10.0,,1.0,1.0,Immediate,,Enrolled,T,2023-05-25T19:10:00Z,2023-05-31T15:00:00Z,Richmond,24150,/college/richmond,Villanova,24152.0,/college/villanova,True,1.0,https://247sports.com/player/tyler-burton-46054930/college-278965,https://s3media.247sports.com/Uploads/Assets/999/783/11783999.jpeg,2023-05-31T16:00:33Z,247sports_api_transfers
