year,player_key,first_name,last_name,full_name,position,position_group,height,weight,stars,rating,transfer_rating,high_school_rating,transfer_rank,high_school_rank,position_rank,state_rank,eligibility_type,eligibility_years,status,institution_status,transfer_date,transfer_commit_date,source_school,source_institution_key,source_school_root_path,destination_school,destination_institution_key,destination_school_root_path,destination_transferred,destination_options_count,player_profile_url,avatar_url,last_update_date,source
2022,46056542,Emoni,Bates,Emoni Bates,SF,Forward,6-8,200,5.0,0.99,0.99,0.99,1.0,6.0,1.0,1.0,Immediate,,Enrolled,T,2022-04-16T22:43:00Z,,Memphis,24053,/college/memphis,Eastern Michigan,24070.0,/college/eastern-michigan,True,2.0,https://247sports.com/player/emoni-bates-46056542/college-273090,https://s3media.247sports.com/Uploads/Assets/45/989/10989045.jpg,2022-06-29T19:33:36Z,247sports_api_transfers
2022,46086033,Tyrese,Hunter,Tyrese Hunter,PG,Guard,6-1,175,5.0,0.99,0.99,0.96,2.0,40.0,1.0,1.0,Immediate,,Enrolled,T,2022-04-18T17:33:00Z,2022-05-28T00:56:00Z,Iowa State,24021,/college/iowa-state,Texas,24028.0,/college/texas,True,1.0,https://247sports.com/player/tyrese-hunter-46086033/college-269458,https://s3media.247sports.com/Uploads/Assets/582/45/11045582.jpg,2023-05-13T00:57:29Z,247sports_api_transfers
2022,46133176,Baylor,Scheierman,Baylor Scheierman,SG,Guard,6-6,205,4.0,0.95,0.95,,3.0,,1.0,1.0,Immediate,,Enrolled,T,2022-04-24T17:36:00Z,,South Dakota State,24185,/college/south-dakota-state,Creighton,24343.0,/college/creighton,True,1.0,https://247sports.com/player/baylor-scheierman-46133176/college-279878,https://s3media.247sports.com/Uploads/Assets/992/60/11060992.png,2022-05-03T20:48:11Z,247sports_api_transfers
2022,46054929,Nijel,Pack,Nijel Pack,PG,Guard,5-10,165,4.0,0.93,0.93,0.89,4.0,230.0,2.0,1.0,Immediate,,Enrolled,T,2022-03-31T17:01:00Z,,Kansas State,24023,/college/kansas-state,Miami,24013.0,/college/miami,True,1.0,https://247sports.com/player/nijel-pack-46054929/college-258680,https://s3media.247sports.com/Uploads/Assets/423/242/9242423.jpg,2022-04-23T19:43:04Z,247sports_api_transfers
2022,94505,Kendric,Davis,Kendric Davis,PG,Guard,5-11,180,4.0,0.93,0.93,0.89,5.0,167.0,3.0,1.0,Immediate,,Enrolled,T,2022-04-11T15:29:00Z,,SMU,24055,/college/smu,Memphis,24053.0,/college/memphis,True,1.0,https://247sports.com/player/kendric-davis-94505/college-237387,https://s3media.247sports.com/Uploads/Assets/110/791/9791110.jpeg,2022-04-23T01:22:34Z,247sports_api_transfers
2022,46099866,Brandon,Murray,Brandon Murray,SG,Guard,6-5,200,4.0,0.93,0.93,0.92,6.0,92.0,2.0,1.0,Immediate,,Enrolled,T,2022-03-24T16:31:00Z,,LSU,24102,/college/lsu,Georgetown,24210.0,/college/georgetown,True,1.0,https://247sports.com/player/brandon-murray-46099866/college-266169,https://s3media.247sports.com/Uploads/Assets/600/993/10993600.jpg,2022-04-11T19:07:27Z,247sports_api_transfers
2022,46042249,Isiaih,Mosley,Isiaih Mosley,SG,Guard,6-5,185,4.0,0.93,0.93,0.88,7.0,313.0,3.0,1.0,Immediate,,Enrolled,T,2022-04-28T20:46:00Z,,Missouri State,24182,/college/missouri-state,Missouri,24024.0,/college/missouri,True,2.0,https://247sports.com/player/isiaih-mosley-46042249/college-262504,https://s3media.247sports.com/Uploads/Assets/54/70/11070054.jpg,2022-06-06T21:36:40Z,247sports_api_transfers
2022,46047723,Kevin,McCullar,Kevin McCullar,SG,Guard,6-6,180,4.0,0.93,0.93,0.9,8.0,135.0,4.0,2.0,Immediate,,Enrolled,T,2022-04-27T20:07:00Z,,Texas Tech,24030,/college/texas-tech,Kansas,24022.0,/college/kansas,True,1.0,https://247sports.com/player/kevin-mccullar-46047723/college-229201,https://s3media.247sports.com/Uploads/Assets/112/63/11063112.jpg,2022-05-20T00:55:33Z,247sports_api_transfers
2022,46086196,David,Jones,David Jones,SF,Forward,6-6,195,4.0,0.93,0.93,0.91,9.0,123.0,2.0,1.0,Immediate,,Enrolled,T,2022-04-19T16:55:00Z,,DePaul,24329,/college/depaul,St. John's,24309.0,/college/saint-johns,True,1.0,https://247sports.com/player/david-jones-46086196/college-264430,https://s3media.247sports.com/Uploads/Assets/30/57/11057030.jpg,2022-05-03T18:38:15Z,247sports_api_transfers
2022,86963,Matthew,Mayer,Matthew Mayer,SF,Forward,6-9,200,4.0,0.93,0.93,0.92,10.0,92.0,3.0,3.0,Immediate,,Enrolled,T,2022-05-02T15:48:00Z,,Baylor,24019,/college/baylor,Illinois,24039.0,/college/illinois,True,1.0,https://247sports.com/player/matthew-mayer-86963/college-220795,https://s3media.247sports.com/Uploads/Assets/584/173/10173584.jpg,2022-05-27T22:48:01Z,247sports_api_transfers
2022,46103325,Trevon,Brazile,Trevon Brazile,PF,Forward,6-9,215,4.0,0.92,0.92,0.89,11.0,167.0,1.0,2.0,Immediate,,Enrolled,T,2022-03-24T01:46:00Z,,Missouri,24024,/college/missouri,Arkansas,24097.0,/college/arkansas,True,1.0,https://247sports.com/player/trevon-brazile-46103325/college-273104,https://s3media.247sports.com/Uploads/Assets/871/992/10992871.jpg,2022-03-31T16:44:53Z,247sports_api_transfers
2022,46055252,Efton,Reid,Efton Reid,C,Center,6-11,225,4.0,0.92,0.92,0.97,12.0,32.0,1.0,2.0,Immediate,,Enrolled,T,2022-03-31T20:47:00Z,,LSU,24102,/college/lsu,Gonzaga,24317.0,/college/gonzaga,True,1.0,https://247sports.com/player/efton-reid-46055252/college-266170,https://s3media.247sports.com/Uploads/Assets/784/264/9264784.jpg,2022-05-03T18:36:10Z,247sports_api_transfers
2022,46085384,Johni,Broome,Johni Broome,C,Center,6-10,235,4.0,0.92,0.92,0.8,13.0,464.0,2.0,1.0,Immediate,,Enrolled,T,2022-04-04T15:58:00Z,,Morehead State,24490,/college/morehead-state,Auburn,24098.0,/college/auburn,True,1.0,https://247sports.com/player/johni-broome-46085384/college-278581,https://s3media.247sports.com/Uploads/Assets/981/16/11016981.jpg,2022-04-30T19:19:37Z,247sports_api_transfers
2022,46054973,Terrence,Shannon Jr.,Terrence Shannon Jr.,SF,Forward,6-6,185,4.0,0.92,0.92,0.91,14.0,127.0,4.0,4.0,Immediate,,Enrolled,T,2022-03-26T03:16:00Z,,Texas Tech,24030,/college/texas-tech,Illinois,24039.0,/college/illinois,True,1.0,https://247sports.com/player/terrence-shannon-jr-46054973/college-243008,https://s3media.247sports.com/Uploads/Assets/374/372/8372374.jpg,2022-04-29T19:23:47Z,247sports_api_transfers
2022,46051855,Jahmir,Young,Jahmir Young,PG,Guard,6-0,160,4.0,0.92,0.92,0.89,15.0,223.0,4.0,1.0,Immediate,,Committed,T,2022-04-07T19:57:00Z,,Charlotte,24318,/college/charlotte,Maryland,24012.0,/college/maryland,True,1.0,https://247sports.com/player/jahmir-young-46051855/college-243337,https://s3media.247sports.com/Uploads/Assets/28/380/8380028.jpg,2022-04-27T21:20:45Z,247sports_api_transfers
2022,46131923,Fardaws,Aimaq,Fardaws Aimaq,C,Center,6-11,245,4.0,0.92,0.92,,16.0,,3.0,1.0,Immediate,,Enrolled,T,2022-03-18T16:14:00Z,,Utah Valley,24441,/college/utah-valley,Texas Tech,24030.0,/college/texas-tech,True,1.0,https://247sports.com/player/fardaws-aimaq-46131923/college-278117,https://s3media.247sports.com/Uploads/Assets/96/987/10987096.jpg,2022-04-29T18:07:13Z,247sports_api_transfers
2022,46057877,Brandon,Huntley-Hatfield,Brandon Huntley-Hatfield,PF,Forward,6-10,246,4.0,0.92,0.92,0.98,17.0,24.0,2.0,2.0,Immediate,,Enrolled,T,2022-04-10T16:15:00Z,,Tennessee,24106,/college/tennessee,Louisville,24033.0,/college/louisville,True,1.0,https://247sports.com/player/brandon-huntley-hatfield-46057877/college-268372,https://s3media.247sports.com/Uploads/Assets/464/680/10680464.jpg,2022-04-24T23:45:37Z,247sports_api_transfers
2022,46097886,Jaylon,Tyson,Jaylon Tyson,SF,Forward,6-6,185,4.0,0.92,0.92,0.97,18.0,36.0,5.0,5.0,Immediate,,Enrolled,T,2022-01-10T22:01:00Z,2022-01-11T04:00:00Z,Texas,24028,/college/texas,Texas Tech,24030.0,/college/texas-tech,True,1.0,https://247sports.com/player/jaylon-tyson-46097886/college-273448,https://s3media.247sports.com/Uploads/Assets/925/769/11769925.jpeg,2023-05-15T03:01:29Z,247sports_api_transfers
2022,46133154,Malachi,Smith,Malachi Smith,SG,Guard,6-4,205,4.0,0.92,0.92,,19.0,,5.0,3.0,Immediate,,Enrolled,T,2022-04-27T16:01:00Z,,Chattanooga,24225,/college/chattanooga,Gonzaga,24317.0,/college/gonzaga,True,1.0,https://247sports.com/player/malachi-smith-46133154/college-279853,https://s3media.247sports.com/Uploads/Assets/855/60/11060855.jpg,2022-06-02T21:56:13Z,247sports_api_transfers
2022,46083972,Mark,Sears,Mark Sears,PG,Guard,6-0,155,4.0,0.92,0.92,0.89,20.0,234.0,5.0,1.0,Immediate,,Enrolled,T,2022-04-01T19:34:00Z,,Ohio,24074,/college/ohio,Alabama,24096.0,/college/alabama,True,1.0,https://247sports.com/player/mark-sears-46083972/college-259055,https://s3media.247sports.com/Uploads/Assets/207/253/9253207.jpg,2022-04-08T01:37:59Z,247sports_api_transfers
2022,46042670,Jaiden,Delaire,Jaiden Delaire,SF,Forward,6-8,210,4.0,0.91,0.91,0.93,21.0,83.0,6.0,1.0,Immediate,,Enrolled,T,2022-03-16T17:04:00Z,2022-05-09T15:57:00Z,Stanford,24092,/college/stanford,San Diego,24222.0,/college/san-diego,True,1.0,https://247sports.com/player/jaiden-delaire-46042670/college-223311,https://s3media.247sports.com/Uploads/Assets/173/978/10978173.jpg,2023-04-14T15:57:44Z,247sports_api_transfers
2022,46080358,Devin,Carter,Devin Carter,SG,Guard,6-4,175,4.0,0.91,0.91,0.93,22.0,87.0,6.0,1.0,Immediate,,Enrolled,T,2022-03-28T15:34:00Z,,South Carolina,24105,/college/south-carolina,Providence,24308.0,/college/providence,True,1.0,https://247sports.com/player/devin-carter-46080358/college-266494,https://s3media.247sports.com/Uploads/Assets/80/2/11002080.jpg,2022-04-17T15:53:38Z,247sports_api_transfers
2022,46049264,Kyle,Lofton,Kyle Lofton,PG,Guard,6-4,180,4.0,0.91,0.91,,23.0,,6.0,1.0,Immediate,,Enrolled,T,2022-05-13T17:10:00Z,,St. Bonaventure,24322,/college/saint-bonaventure,Florida,24099.0,/college/florida,True,1.0,https://247sports.com/player/kyle-lofton-46049264/college-279963,https://s3media.247sports.com/Uploads/Assets/115/63/11063115.png,2022-05-14T16:36:01Z,247sports_api_transfers
