player.avatar,player.eligibility.type,player.eligibility.years,player.endDate,player.firstName,player.height,player.highSchoolRank,player.highSchoolRating,player.institutionStatus,player.key,player.lastName,player.lastUpdateDate,player.playerProfileUrl,player.position,player.positionGroupKey,player.positionGroupName,player.positionKey,player.positionRank,player.rank,player.rankTrend,player.rating,player.starRating,player.startDate,player.stateRank,player.status,player.statusDate,player.transfer.destination,player.transfer.source.alternateAsset,player.transfer.source.defaultAsset,player.transfer.source.institution,player.transfer.source.institutionKey,player.transfer.source.institutionRootPath,player.transfer.source.lightAsset,player.transfer.source.logo,player.transferCommitDateTime,player.transferDate,player.transferRank,player.transferRating,player.weight,year
https://s3media.247sports.com/Uploads/Assets/194/346/13346194.jpg,Immediate,,,BJ,6-6,170.0,0.89,T,46125422,Davis-Ray,2026-05-01T18:46:35Z,https://247sports.com/player/bj-davis-ray-46125422/college-345777,SF,10,Forward,33,82.0,475.0,,0.84,3.0,,23.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/274/551/12551274.png', 'institution': 'Northern Kentucky', 'institutionKey': 24982, 'institutionRootPath': '/college/northern-kentucky', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/274/551/12551274.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/907/542/12542907.png,SMU,24055,/college/smu,https://s3media.247sports.com/Uploads/Assets/907/542/12542907.png,,2026-05-01T18:46:00Z,2026-04-13T16:40:00Z,475.0,0.84,195,2026
https://s3media.247sports.com/Uploads/Assets/535/714/13714535.jpg,Immediate,,,Lukas,6-5,,,T,46125541,Walls,2026-05-03T20:44:33Z,https://247sports.com/player/lukas-walls-46125541/college-358474,SG,9,Guard,32,95.0,476.0,,0.84,3.0,,14.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/385/617/12617385.png', 'institution': 'Texas A&M', 'institutionKey': 24029, 'institutionRootPath': '/college/texas-am', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/385/617/12617385.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/708/551/12551708.png,Radford,24371,/college/radford,https://s3media.247sports.com/Uploads/Assets/708/551/12551708.png,,2026-04-15T20:44:00Z,2026-04-07T19:43:00Z,476.0,0.84,203,2026
https://s3media.247sports.com/Uploads/Assets/345/820/13820345.jpg,Immediate,,,Jacob,6-4,215.0,0.88,T,46135603,Theodosiou,2026-05-02T17:18:04Z,https://247sports.com/player/jacob-theodosiou-46135603/college-359509,PG,9,Guard,31,75.0,477.0,,0.84,3.0,,6.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/356/33/8033356.png', 'institution': 'Duke', 'institutionKey': 24009, 'institutionRootPath': '/college/duke', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/356/33/8033356.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/895/640/9640895.png,Loyola Maryland,24382,/college/loyola-maryland,https://s3media.247sports.com/Uploads/Assets/895/640/9640895.png,,2026-05-02T17:16:00Z,2026-04-07T05:00:00Z,477.0,0.84,204,2026
https://s3media.247sports.com/Uploads/Assets/359/346/13346359.jpg,Immediate,,,Jahki,6-7,62.0,0.93,T,46110670,Howard,2026-03-17T21:42:14Z,https://247sports.com/player/jahki-howard-46110670/college-345796,SF,10,Forward,33,83.0,478.0,-1.0,0.83,3.0,,17.0,,,[],,https://s3media.247sports.com/Uploads/Assets/35/543/12543035.png,Utah,24085,/college/utah,https://s3media.247sports.com/Uploads/Assets/35/543/12543035.png,,,2026-03-17T21:41:00Z,478.0,0.83,195,2026
https://s3media.247sports.com/Uploads/Assets/432/340/13340432.jpg,Immediate,,,Ron,6-5,,0.91,T,46158321,Zipper,2026-03-26T17:03:21Z,https://247sports.com/player/ron-zipper-46158321/college-345454,SG,9,Guard,32,96.0,479.0,-1.0,0.83,3.0,,16.0,,,[],,https://s3media.247sports.com/Uploads/Assets/869/32/8032869.png,LSU,24102,/college/lsu,https://s3media.247sports.com/Uploads/Assets/499/617/12617499.png,,,2026-03-26T17:03:00Z,479.0,0.83,209,2026
https://s3media.247sports.com/Uploads/Assets/424/28/13028424.jpg,Immediate,,,Olivier,7-9,400.0,0.82,T,46137939,Rioux,2026-04-30T14:49:09Z,https://247sports.com/player/olivier-rioux-46137939/college-323058,C,11,Center,35,70.0,480.0,,0.83,3.0,,19.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/33/547/12547033.png', 'institution': 'UC Irvine', 'institutionKey': 24377, 'institutionRootPath': '/college/uc-irvine', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/33/547/12547033.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/863/84/11084863.png,Florida,24099,/college/florida,https://s3media.247sports.com/Uploads/Assets/863/84/11084863.png,,2026-04-30T14:49:00Z,2026-03-31T14:03:00Z,480.0,0.83,305,2026
https://s3media.247sports.com/Uploads/Assets/596/698/13698596.jpeg,Immediate,,,Pape,7-0,166.0,0.88,T,46141085,N'Diaye,2026-05-04T09:15:45Z,https://247sports.com/player/pape-ndiaye-46141085/college-346148,C,11,Center,35,71.0,481.0,,0.83,3.0,,22.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/9/543/12543009.png', 'institution': 'Kansas State', 'institutionKey': 24023, 'institutionRootPath': '/college/kansas-state', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/173/617/12617173.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/994/546/12546994.png,Xavier,24316,/college/xavier,https://s3media.247sports.com/Uploads/Assets/994/546/12546994.png,,2026-04-25T21:00:00Z,2026-04-07T20:34:00Z,481.0,0.83,230,2026
https://s3media.247sports.com/Uploads/Assets/598/731/13731598.jpg,Immediate,2.0,,Braden,6-6,294.0,0.85,T,46102964,Appelhans,2026-05-07T14:23:04Z,https://247sports.com/player/braden-appelhans-46102964/college-358608,SG,9,Guard,32,97.0,482.0,,0.83,3.0,,5.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/994/546/12546994.png', 'institution': 'Xavier', 'institutionKey': 24316, 'institutionRootPath': '/college/xavier', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/994/546/12546994.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/286/550/12550286.png,Drake,24218,/college/drake,https://s3media.247sports.com/Uploads/Assets/286/550/12550286.png,,2026-05-07T14:22:00Z,2026-04-07T20:39:00Z,482.0,0.83,190,2026
https://s3media.247sports.com/Uploads/Assets/450/780/13780450.jpeg,Immediate,,,Nikos,6-9,,,T,46166535,Chitikoudis,2026-04-23T20:01:10Z,https://247sports.com/player/nikos-chitikoudis-46166535/college-359147,PF,10,Forward,34,103.0,483.0,,0.83,3.0,,22.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/994/546/12546994.png', 'institution': 'Xavier', 'institutionKey': 24316, 'institutionRootPath': '/college/xavier', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/994/546/12546994.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/703/551/12551703.png,Robert Morris,24194,/college/robert-morris,https://s3media.247sports.com/Uploads/Assets/703/551/12551703.png,,2026-04-23T20:00:00Z,2026-03-19T20:00:00Z,483.0,0.83,215,2026
https://s3media.247sports.com/Uploads/Assets/701/340/13340701.jpg,Immediate,,,EJ,6-7,217.0,0.88,T,46135790,Walker,2026-04-30T13:48:58Z,https://247sports.com/player/ej-walker-46135790/college-338780,PF,10,Forward,34,104.0,484.0,,0.82,3.0,,16.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/917/546/12546917.png', 'institution': 'Western Kentucky', 'institutionKey': 24116, 'institutionRootPath': '/college/western-kentucky', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/917/546/12546917.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/574/543/12543574.png,South Carolina,24105,/college/south-carolina,https://s3media.247sports.com/Uploads/Assets/574/543/12543574.png,,2026-04-29T19:48:00Z,2026-03-23T15:27:00Z,484.0,0.82,253,2026
