player.key,player.firstName,player.lastName,player.avatar,player.transferDate,player.transferRating,player.highSchoolRating,player.rating,player.starRating,player.transferRank,player.highSchoolRank,player.rank,player.rankTrend,player.institutionStatus,player.position,player.positionKey,player.eligibility.type,player.eligibility.years,player.stateRank,player.status,player.statusDate,player.transfer.source.institution,player.transfer.source.institutionKey,player.transfer.source.logo,player.transfer.source.defaultAsset,player.transfer.source.alternateAsset,player.transfer.source.lightAsset,player.transfer.source.institutionRootPath,player.transfer.destination,player.positionGroupKey,player.positionGroupName,player.positionRank,player.lastUpdateDate,player.transferCommitDateTime,player.weight,player.height,player.playerProfileUrl,player.startDate,player.endDate,year
46056542,Emoni,Bates,https://s3media.247sports.com/Uploads/Assets/45/989/10989045.jpg,2022-04-16T22:43:00Z,0.99,0.99,0.99,5.0,1.0,6.0,1.0,,T,SF,33,Immediate,,1.0,Enrolled,,Memphis,24053,,https://s3media.247sports.com/Uploads/Assets/309/544/12544309.png,,https://s3media.247sports.com/Uploads/Assets/309/544/12544309.png,/college/memphis,"[{'percentage': 20, 'transferred': False, 'institution': 'Louisville', 'institutionKey': 24033, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/863/542/12542863.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/863/542/12542863.png', 'institutionRootPath': '/college/louisville'}, {'percentage': None, 'transferred': True, 'institution': 'Eastern Michigan', 'institutionKey': 24070, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/503/617/12617503.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/503/617/12617503.png', 'institutionRootPath': '/college/eastern-michigan'}]",10,Forward,1.0,2022-06-29T19:33:36Z,,200,6-8,https://247sports.com/player/emoni-bates-46056542/college-273090,,,2022
46086033,Tyrese,Hunter,https://s3media.247sports.com/Uploads/Assets/582/45/11045582.jpg,2022-04-18T17:33:00Z,0.99,0.96,0.99,5.0,2.0,40.0,2.0,1.0,T,PG,31,Immediate,,1.0,Enrolled,,Iowa State,24021,,https://s3media.247sports.com/Uploads/Assets/990/542/12542990.png,,https://s3media.247sports.com/Uploads/Assets/990/542/12542990.png,/college/iowa-state,"[{'percentage': 100, 'transferred': True, 'institution': 'Texas', 'institutionKey': 24028, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/487/456/8456487.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/776/616/12616776.png', 'institutionRootPath': '/college/texas'}]",9,Guard,1.0,2023-05-13T00:57:29Z,2022-05-28T00:56:00Z,175,6-1,https://247sports.com/player/tyrese-hunter-46086033/college-269458,,,2022
46133176,Baylor,Scheierman,https://s3media.247sports.com/Uploads/Assets/992/60/11060992.png,2022-04-24T17:36:00Z,0.95,,0.95,4.0,3.0,,3.0,,T,SG,32,Immediate,,1.0,Enrolled,,South Dakota State,24185,,https://s3media.247sports.com/Uploads/Assets/680/827/7827680.png,,https://s3media.247sports.com/Uploads/Assets/680/827/7827680.png,/college/south-dakota-state,"[{'percentage': 100, 'transferred': True, 'institution': 'Creighton', 'institutionKey': 24343, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/30/284/10284030.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/34/284/10284034.png', 'institutionRootPath': '/college/creighton'}]",9,Guard,1.0,2022-05-03T20:48:11Z,,205,6-6,https://247sports.com/player/baylor-scheierman-46133176/college-279878,,,2022
46054929,Nijel,Pack,https://s3media.247sports.com/Uploads/Assets/423/242/9242423.jpg,2022-03-31T17:01:00Z,0.93,0.89,0.93,4.0,4.0,230.0,4.0,1.0,T,PG,31,Immediate,,1.0,Enrolled,,Kansas State,24023,,https://s3media.247sports.com/Uploads/Assets/9/543/12543009.png,,https://s3media.247sports.com/Uploads/Assets/173/617/12617173.png,/college/kansas-state,"[{'percentage': 100, 'transferred': True, 'institution': 'Miami', 'institutionKey': 24013, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/865/542/12542865.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/865/542/12542865.png', 'institutionRootPath': '/college/miami'}]",9,Guard,2.0,2022-04-23T19:43:04Z,,165,5-10,https://247sports.com/player/nijel-pack-46054929/college-258680,,,2022
94505,Kendric,Davis,https://s3media.247sports.com/Uploads/Assets/110/791/9791110.jpeg,2022-04-11T15:29:00Z,0.93,0.89,0.93,4.0,5.0,167.0,5.0,1.0,T,PG,31,Immediate,,1.0,Enrolled,,SMU,24055,,https://s3media.247sports.com/Uploads/Assets/907/542/12542907.png,,https://s3media.247sports.com/Uploads/Assets/907/542/12542907.png,/college/smu,"[{'percentage': None, 'transferred': True, 'institution': 'Memphis', 'institutionKey': 24053, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/309/544/12544309.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/309/544/12544309.png', 'institutionRootPath': '/college/memphis'}]",9,Guard,3.0,2022-04-23T01:22:34Z,,180,5-11,https://247sports.com/player/kendric-davis-94505/college-237387,,,2022
46099866,Brandon,Murray,https://s3media.247sports.com/Uploads/Assets/600/993/10993600.jpg,2022-03-24T16:31:00Z,0.93,0.92,0.93,4.0,6.0,92.0,6.0,,T,SG,32,Immediate,,1.0,Enrolled,,LSU,24102,,https://s3media.247sports.com/Uploads/Assets/869/32/8032869.png,,https://s3media.247sports.com/Uploads/Assets/499/617/12617499.png,/college/lsu,"[{'percentage': None, 'transferred': True, 'institution': 'Georgetown', 'institutionKey': 24210, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/952/546/12546952.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/952/546/12546952.png', 'institutionRootPath': '/college/georgetown'}]",9,Guard,2.0,2022-04-11T19:07:27Z,,200,6-5,https://247sports.com/player/brandon-murray-46099866/college-266169,,,2022
46042249,Isiaih,Mosley,https://s3media.247sports.com/Uploads/Assets/54/70/11070054.jpg,2022-04-28T20:46:00Z,0.93,0.88,0.93,4.0,7.0,313.0,7.0,1.0,T,SG,32,Immediate,,1.0,Enrolled,,Missouri State,24182,,https://s3media.247sports.com/Uploads/Assets/959/826/7826959.png,,https://s3media.247sports.com/Uploads/Assets/959/826/7826959.png,/college/missouri-state,"[{'percentage': 66, 'transferred': True, 'institution': 'Missouri', 'institutionKey': 24024, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/741/542/12542741.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/741/542/12542741.png', 'institutionRootPath': '/college/missouri'}, {'percentage': 33, 'transferred': False, 'institution': 'Mississippi State', 'institutionKey': 24104, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/501/617/12617501.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/501/617/12617501.png', 'institutionRootPath': '/college/mississippi-state'}]",9,Guard,3.0,2022-06-06T21:36:40Z,,185,6-5,https://247sports.com/player/isiaih-mosley-46042249/college-262504,,,2022
46047723,Kevin,McCullar,https://s3media.247sports.com/Uploads/Assets/112/63/11063112.jpg,2022-04-27T20:07:00Z,0.93,0.9,0.93,4.0,8.0,135.0,8.0,,T,SG,32,Immediate,,2.0,Enrolled,,Texas Tech,24030,,https://s3media.247sports.com/Uploads/Assets/33/543/12543033.png,,https://s3media.247sports.com/Uploads/Assets/33/543/12543033.png,/college/texas-tech,"[{'percentage': 100, 'transferred': True, 'institution': 'Kansas', 'institutionKey': 24022, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/993/542/12542993.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/993/542/12542993.png', 'institutionRootPath': '/college/kansas'}]",9,Guard,4.0,2022-05-20T00:55:33Z,,180,6-6,https://247sports.com/player/kevin-mccullar-46047723/college-229201,,,2022
46086196,David,Jones,https://s3media.247sports.com/Uploads/Assets/30/57/11057030.jpg,2022-04-19T16:55:00Z,0.93,0.91,0.93,4.0,9.0,123.0,9.0,,T,SF,33,Immediate,,1.0,Enrolled,,DePaul,24329,,https://s3media.247sports.com/Uploads/Assets/950/546/12546950.png,,https://s3media.247sports.com/Uploads/Assets/950/546/12546950.png,/college/depaul,"[{'percentage': None, 'transferred': True, 'institution': ""St. John's"", 'institutionKey': 24309, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/877/620/12620877.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/877/620/12620877.png', 'institutionRootPath': '/college/saint-johns'}]",10,Forward,2.0,2022-05-03T18:38:15Z,,195,6-6,https://247sports.com/player/david-jones-46086196/college-264430,,,2022
86963,Matthew,Mayer,https://s3media.247sports.com/Uploads/Assets/584/173/10173584.jpg,2022-05-02T15:48:00Z,0.93,0.92,0.93,4.0,10.0,92.0,10.0,,T,SF,33,Immediate,,3.0,Enrolled,,Baylor,24019,,https://s3media.247sports.com/Uploads/Assets/935/542/12542935.png,,https://s3media.247sports.com/Uploads/Assets/199/617/12617199.png,/college/baylor,"[{'percentage': None, 'transferred': True, 'institution': 'Illinois', 'institutionKey': 24039, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/916/698/9698916.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/523/551/12551523.png', 'institutionRootPath': '/college/illinois'}]",10,Forward,3.0,2022-05-27T22:48:01Z,,200,6-9,https://247sports.com/player/matthew-mayer-86963/college-220795,,,2022
