split,rows,target_mean,target_std,pred_mean,pred_std,mae,rmse,weighted_rmse_diagnostic_only,r2,corr,spearman_corr,diagnostic_weight_mean,diagnostic_weight_min,diagnostic_weight_max,poss_mean,poss_min,poss_max
train,5537,0.004633921213653592,2.4715311698956253,0.005413264914270969,1.3495181634749953,1.5851221393118926,2.00681657845438,2.043695136560207,0.3405807541399951,0.5848819313226735,0.49902268711313924,0.702493234103245,0.4,0.8920086393088553,887.7572692793932,200.0,2478.0
valid,855,-0.23741241489707607,2.3591496139762733,0.03121705571958879,1.1795123590130467,1.5465270941053386,1.9643795856512571,1.997077245810378,0.30585835576933107,0.5688026939575619,0.47868221749588497,0.690141532806865,0.4,0.8810467882632831,835.540350877193,200.0,2222.0
test,797,0.48923508374834385,2.720638212047572,0.1296664998179446,1.2157773293660397,1.6487355508059076,2.150465519657588,2.2322773466681203,0.3744404859522301,0.6618266008723892,0.5506854127648253,0.6998091328355129,0.40239043824701193,0.8851014936805821,888.6762860727729,202.0,2311.0
