"TeamId","Team","Conference","IdHash","Athletes[0] Id","Athletes[0] Name","Athletes[1] Id","Athletes[1] Name","Athletes[2] Id","Athletes[2] Name","Athletes[3] Id","Athletes[3] Name","Athletes[4] Id","Athletes[4] Name","TotalSeconds","Pace","OffenseRating","DefenseRating","NetRating","TeamStats Points","TeamStats Possessions","TeamStats Assists","TeamStats Steals","TeamStats Turnovers","TeamStats Blocks","TeamStats DefensiveRebounds","TeamStats OffensiveRebounds","TeamStats TrueShooting","TeamStats FieldGoals Made","TeamStats FieldGoals Attempted","TeamStats FieldGoals Pct","TeamStats FreeThrows Made","TeamStats FreeThrows Attempted","TeamStats FreeThrows Pct","TeamStats TwoPointers Made","TeamStats TwoPointers Attempted","TeamStats TwoPointers Pct","TeamStats TwoPointers TipIns Made","TeamStats TwoPointers TipIns Attempted","TeamStats TwoPointers TipIns Pct","TeamStats TwoPointers Dunks Made","TeamStats TwoPointers Dunks Attempted","TeamStats TwoPointers Dunks Pct","TeamStats TwoPointers Layups Made","TeamStats TwoPointers Layups Attempted","TeamStats TwoPointers Layups Pct","TeamStats TwoPointers Jumpers Made","TeamStats TwoPointers Jumpers Attempted","TeamStats TwoPointers Jumpers Pct","TeamStats ThreePointers Made","TeamStats ThreePointers Attempted","TeamStats ThreePointers Pct","TeamStats FourFactors EffectiveFieldGoalPct","TeamStats FourFactors TurnoverRatio","TeamStats FourFactors OffensiveReboundPct","TeamStats FourFactors FreeThrowRate","OpponentStats Points","OpponentStats Possessions","OpponentStats Assists","OpponentStats Steals","OpponentStats Turnovers","OpponentStats Blocks","OpponentStats DefensiveRebounds","OpponentStats OffensiveRebounds","OpponentStats TrueShooting","OpponentStats FieldGoals Made","OpponentStats FieldGoals Attempted","OpponentStats FieldGoals Pct","OpponentStats FreeThrows Made","OpponentStats FreeThrows Attempted","OpponentStats FreeThrows Pct","OpponentStats TwoPointers Made","OpponentStats TwoPointers Attempted","OpponentStats TwoPointers Pct","OpponentStats TwoPointers TipIns Made","OpponentStats TwoPointers TipIns Attempted","OpponentStats TwoPointers TipIns Pct","OpponentStats TwoPointers Dunks Made","OpponentStats TwoPointers Dunks Attempted","OpponentStats TwoPointers Dunks Pct","OpponentStats TwoPointers Layups Made","OpponentStats TwoPointers Layups Attempted","OpponentStats TwoPointers Layups Pct","OpponentStats TwoPointers Jumpers Made","OpponentStats TwoPointers Jumpers Attempted","OpponentStats TwoPointers Jumpers Pct","OpponentStats ThreePointers Made","OpponentStats ThreePointers Attempted","OpponentStats ThreePointers Pct","OpponentStats FourFactors EffectiveFieldGoalPct","OpponentStats FourFactors TurnoverRatio","OpponentStats FourFactors OffensiveReboundPct","OpponentStats FourFactors FreeThrowRate"
"16","Auburn","SEC","15-334-7583-198094-198098","15","Blake Muschalek","334","Keyshawn Hall","7583","Kevin Overton","198094","Elyjah Freeman","198098","Filip Jović","1441","50.8","153.8","120","33.8","40","26","9","6","4","2","11","5","57.6","11","29","37.9","9","13","69.2","2","8","25","0","0","0","0","0","0","1","2","50","1","6","16.7","9","21","42.9","53.4","0.15","33.3","44.8","42","35","7","3","8","1","13","9","52.9","14","34","41.2","12","13","92.3","12","28","42.9","0","1","0","3","3","100","6","12","50","3","12","25","2","6","33.3","44.1","0.23","69.2","38.2"
"16","Auburn","SEC","334-4154-7583-198094-198110","334","Keyshawn Hall","4154","KeShawn Murphy","7583","Kevin Overton","198094","Elyjah Freeman","198110","Sebastian Williams-Adams","1381","61.7","148.8","176.7","-27.9","61","41","4","4","4","3","18","9","71.5","19","33","57.6","19","22","86.4","15","25","60","2","3","66.7","2","2","100","10","17","58.8","1","3","33.3","4","8","50","63.6","0.1","33.3","66.7","53","30","5","2","6","5","10","10","51.4","14","41","34.1","19","24","79.2","8","19","42.1","2","2","100","1","1","100","3","7","42.9","2","9","22.2","6","22","27.3","41.5","0.2","100","58.5"
"16","Auburn","SEC","334-7583-198098-198099-198110","334","Keyshawn Hall","7583","Kevin Overton","198098","Filip Jović","198099","Kaden Magwood","198110","Sebastian Williams-Adams","1363","66","138.7","118.2","20.5","43","31","7","4","4","1","12","3","55.2","15","35","42.9","7","9","77.8","9","16","56.3","0","1","0","1","1","100","7","8","87.5","1","6","16.7","6","19","31.6","51.4","0.13","20","25.7","52","44","8","3","7","0","16","5","66.1","21","38","55.3","1","3","33.3","12","21","57.1","0","2","0","1","1","100","7","13","53.8","4","5","80","9","17","52.9","67.1","0.16","23.8","7.9"
"16","Auburn","SEC","9-334-4154-198094-198098","9","Tahaad Pettiford","334","Keyshawn Hall","4154","KeShawn Murphy","198094","Elyjah Freeman","198098","Filip Jović","1234","62.2","131.3","93.8","37.5","42","32","3","7","3","3","14","10","52","15","36","41.7","7","10","70","10","24","41.7","1","2","50","1","1","100","4","12","33.3","4","9","44.4","5","12","41.7","48.6","0.09","71.4","27.8","30","32","9","2","7","5","13","3","49.5","12","29","41.4","2","3","66.7","8","18","44.4","0","0","0","2","2","100","2","8","25","4","8","50","4","11","36.4","48.3","0.22","20","10.3"
"16","Auburn","SEC","15-334-7583-198098-198110","15","Blake Muschalek","334","Keyshawn Hall","7583","Kevin Overton","198098","Filip Jović","198110","Sebastian Williams-Adams","1177","57.1","145.5","102.9","42.5","32","22","3","7","3","1","10","7","48.4","9","26","34.6","11","16","68.8","6","18","33.3","2","3","66.7","0","0","0","3","10","30","1","5","20","3","8","37.5","40.4","0.14","46.7","61.5","35","34","7","2","8","0","12","2","62.6","14","24","58.3","3","9","33.3","10","17","58.8","0","0","0","1","1","100","4","6","66.7","5","10","50","4","7","57.1","66.7","0.24","14.3","37.5"
"16","Auburn","SEC","334-4154-7583-198099-198110","334","Keyshawn Hall","4154","KeShawn Murphy","7583","Kevin Overton","198099","Kaden Magwood","198110","Sebastian Williams-Adams","1166","65.9","110.3","111.4","-1.1","32","29","8","2","11","2","9","9","48.3","9","27","33.3","12","14","85.7","7","19","36.8","1","2","50","1","1","100","3","8","37.5","2","8","25","2","8","25","37","0.38","100","51.9","39","35","5","5","6","2","11","0","71.1","18","27","66.7","1","1","100","16","23","69.6","0","0","0","2","2","100","11","16","68.8","3","5","60","2","4","50","70.4","0.17","0","3.7"
"16","Auburn","SEC","334-7583-198094-198098-198110","334","Keyshawn Hall","7583","Kevin Overton","198094","Elyjah Freeman","198098","Filip Jović","198110","Sebastian Williams-Adams","1143","58.8","172.4","174.1","-1.7","50","29","7","4","4","4","10","5","77.3","15","24","62.5","14","19","73.7","9","13","69.2","0","1","0","2","2","100","6","7","85.7","1","3","33.3","6","11","54.5","75","0.14","33.3","79.2","47","27","7","2","5","0","7","4","68.8","15","28","53.6","11","14","78.6","9","18","50","2","2","100","2","2","100","4","7","57.1","1","7","14.3","6","10","60","64.3","0.19","57.1","50"
"16","Auburn","SEC","334-7583-198094-198098-198099","334","Keyshawn Hall","7583","Kevin Overton","198094","Elyjah Freeman","198098","Filip Jović","198099","Kaden Magwood","913","84.1","121.1","126.9","-5.9","46","38","9","3","8","1","16","2","73.5","14","26","53.8","11","12","91.7","7","11","63.6","0","0","0","0","0","0","4","8","50","3","3","100","7","15","46.7","67.3","0.21","11.1","46.2","33","26","9","5","4","1","9","2","52.7","13","30","43.3","2","3","66.7","8","20","40","0","0","0","1","1","100","5","11","45.5","2","8","25","5","10","50","51.7","0.15","18.2","10"
"16","Auburn","SEC","15-334-4154-7583-198110","15","Blake Muschalek","334","Keyshawn Hall","4154","KeShawn Murphy","7583","Kevin Overton","198110","Sebastian Williams-Adams","896","52.2","100","121.7","-21.7","16","16","1","3","5","2","7","3","43.8","4","13","30.8","7","12","58.3","3","7","42.9","0","0","0","2","2","100","0","2","0","1","3","33.3","1","6","16.7","34.6","0.31","42.9","92.3","28","23","7","3","4","2","9","3","60.7","10","20","50","4","7","57.1","6","10","60","0","0","0","1","1","100","4","6","66.7","1","3","33.3","4","10","40","60","0.17","27.3","35"
"16","Auburn","SEC","9-4154-7583-198094-198098","9","Tahaad Pettiford","4154","KeShawn Murphy","7583","Kevin Overton","198094","Elyjah Freeman","198098","Filip Jović","708","61","118.8","110","8.8","19","16","3","2","3","2","5","5","46.8","8","19","42.1","2","3","66.7","7","14","50","0","1","0","1","1","100","4","6","66.7","2","6","33.3","1","5","20","44.7","0.19","100","15.8","22","20","4","3","4","2","7","3","57.3","9","17","52.9","2","5","40","7","10","70","0","1","0","2","2","100","4","6","66.7","1","1","100","2","7","28.6","58.8","0.2","42.9","29.4"
