split,rows,year_min,year_max,target_mean,target_std,pred_mean,pred_std,mae,rmse,weighted_rmse_diagnostic_only,r2,corr,spearman_corr,diagnostic_weight_mean,diagnostic_weight_min,diagnostic_weight_max,poss_mean,poss_min,poss_max
train,2335,2018.0,2023.0,1.0626177311922913,2.354150348112038,1.0542216492956555,1.7588425585695224,1.155077813827269,1.4423882596884343,1.4363946415946611,0.6244376919028849,0.7914553090320491,0.7734257420729143,0.7310553698975685,0.4,0.879951980792317,1009.8552462526767,200.0,2199.0
valid,871,2024.0,2024.0,1.34680105163031,2.4728779691997427,1.3173928998388311,1.9601163194524753,1.203119843899177,1.5039732513460509,1.5050915333919945,0.6296829092086105,0.7936149960902138,0.78701692665817,0.7509932166867871,0.4,0.8859315589353612,1127.7370838117106,200.0,2330.0
test,915,2025.0,2025.0,1.4340425957614973,2.7352975395847112,1.2625844055434046,1.9225192901796806,1.3531129952466745,1.7022842125670137,1.7014487348554723,0.6122695658182894,0.7897372070126171,0.7855186844643336,0.7546866448776665,0.40476190476190477,0.8849252013808976,1121.3792349726775,204.0,2307.0
