feature,importance
evan_basic_bpr,13.837809884386807
evan_basic_box_bpr,12.87375301703202
allyears_bpm,7.323496058855618
allyears_gbpm,6.2945151549857
evan_basic_box_dbpr,4.6286462452505575
evan_basic_dbpr,4.225475934565887
evan_basic_box_obpr,2.856375758792918
allyears_ogbpm,2.835580893112349
allyears_adjoe,2.2451217570559536
allyears_usg,1.8481126998427986
evan_basic_obpr,1.774813460192683
247_position_group,1.7536535439245995
transfer_old_team_conf,1.670220053549095
allyears_dreb,1.65252544069044
247_transfer_rating,1.6354504757800898
allyears_porpag,1.593536277141917
247_position,1.5062949667675445
247_rating,1.490352235642104
evan_basic_adj_team_eff_margin,1.4815836316237212
allyears_stops,1.3078254612004652
allyears_ast,1.2643033708210463
evan_advanced_role,1.1535268777963286
allyears_mp,1.146820731862021
allyears_dporpag,1.1011659499986675
allyears_pts,1.0351583900531662
allyears_obpm,1.0114695568940646
evan_basic_poss,0.9918433103395988
247_stars,0.9382499739770883
allyears_dgbpm,0.9219309338427286
allyears_ft_per,0.9134139045014726
allyears_tp_per,0.8949954153318508
evan_basic_plus_minus,0.8391264778008972
allyears_min_per,0.7159522004682449
allyears_role,0.7084932701893815
allyears_ortg,0.6793559685081241
allyears_adrtg,0.6614843323546434
allyears_drtg,0.6549418849114841
allyears_stl_per,0.6534873918807843
allyears_dbpm,0.638866134664847
evan_basic_adj_team_def_eff,0.5746893070418181
allyears_blk,0.5420086819642705
allyears_player_class,0.5099586422447077
allyears_efg,0.5056691832466597
allyears_ast_per,0.48016061632153884
evan_advanced_position,0.4451731756748323
allyears_treb,0.4230425116559749
allyears_gp,0.4229835942358319
allyears_to_per,0.35524080358683696
allyears_stl,0.35482098247579946
evan_basic_adj_team_off_eff,0.3116681803006445
allyears_orb_per,0.30163080917339813
player_height_in,0.2955633431986953
247_weight,0.2912704546643027
allyears_twop_per,0.28828593102650846
allyears_ts_per,0.272539536358152
allyears_3p_100,0.2704965563273801
allyears_ftr,0.26207123910296454
allyears_ast_tov,0.24648511896368916
247_destination_options_count,0.2098764404534158
allyears_pfr,0.18474191148540686
allyears_oreb,0.17601186529475826
allyears_drb_per,0.16700767860464835
transfer_old_team,0.13753612743676175
247_transfer_rank,0.11723958383547055
allyears_blk_per,0.09409869873562392
evan_advanced_class,0.0
